Model Name,Production Year,Mileage,Engine Capacity,Price,Currency,City,Region
Ford Fiesta Mk7,2010,89 000 km,1 250 cm3,17 000 PLN,PLN,Sieradz,(Łódzkie)
Ford KA II,2014,98 000 km,1 250 cm3,17 908 PLN,PLN,Szczucin,(Małopolskie)
Ford KA II,2014,129 000 km,1 250 cm3,17 908 PLN,PLN,Szczucin,(Małopolskie)
Ford KA II,2014,139 000 km,1 250 cm3,17 908 PLN,PLN,Szczucin,(Małopolskie)
Ford Fiesta Mk7,2013,109 489 km,1 242 cm3,10 000 PLN,PLN,Warszawa,(Mazowieckie)
Ford Fiesta Mk7,2009,147 000 km,1 600 cm3,16 800 PLN,PLN,Jarocin,(Wielkopolskie)
Ford Fiesta Mk7,2010,100 000 km,1 200 cm3,17 900 PLN,PLN,Popowo Stare,(Wielkopolskie)
Ford Fiesta Mk7,2011,87 800 km,1 242 cm3,19 900 PLN,PLN,Wrocław,(Dolnośląskie)
Ford Fiesta Mk7,2009,133 000 km,1 300 cm3,17 200 PLN,PLN,Częstochowa,(Śląskie)
Ford KA II,2009,98 314 km,1 245 cm3,6 500 PLN,PLN,Jasienica,(Śląskie)
Ford Fiesta Mk7,2010,124 007 km,1 242 cm3,17 800 PLN,PLN,Zagórze,(Małopolskie)
Ford Fiesta Mk7,2010,124 007 km,1 242 cm3,17 800 PLN,PLN,Zagórze,(Małopolskie)
Ford Fiesta Mk7,2009,106 813 km,1 242 cm3,18 800 PLN,PLN,Gliwice,(Śląskie)
Ford Fiesta Mk7,2010,121 972 km,1 388 cm3,18 900 PLN,PLN,Gryfino,(Zachodniopomorskie)
Ford KA II,2009,122 000 km,1 200 cm3,14 900 PLN,PLN,Orzech,(Śląskie)
Ford Fiesta Mk7,2010,126 000 km,1 300 cm3,18 900 PLN,PLN,Strzegom,(Dolnośląskie)
Ford Focus Mk3,2011,130 000 km,1 600 cm3,19 900 PLN,PLN,Ostrów Mazowiecka,(Mazowieckie)
Ford B-MAX,2014,103 000 km,1 000 cm3,19 900 PLN,PLN,Szamocin,(Wielkopolskie)
Ford Fiesta Mk7,2012,97 000 km,Benzyna,19 900 PLN,PLN,Poniec,(Wielkopolskie)
Ford Fiesta Mk7,2009,101 000 km,1 242 cm3,16 900 PLN,PLN,Zduńska Wola,(Łódzkie)
Ford Fiesta Mk7,2009,131 000 km,1 242 cm3,19 500 PLN,PLN,Przysietnica,(Podkarpackie)
Ford Fusion,2009,124 000 km,1 390 cm3,11 999 PLN,PLN,Wałbrzych,(Dolnośląskie)
Ford Fiesta Mk7,2009,148 000 km,1 242 cm3,17 400 PLN,PLN,Witkowo,(Wielkopolskie)
Ford Focus Mk2,2010,100 000 km,1 600 cm3,20 000 PLN,PLN,Przeczyce,(Śląskie)
Ford Fiesta Mk7,2011,82 000 km,1 250 cm3,20 000 PLN,PLN,Kraków,(Małopolskie)
