Title,Location,Time of work,Type of agreement,Salary,Article url
Lider Gościnności,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 3 300 zł do 3 700 zł /mies. brutto,https://www.olx.pl/oferta/lider-goscinnosci-CID4-IDCYPN7.html#5777e25a50
Pracownik restauracji Burger King Promenada,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 15 zł do 17 zł /godz. brutto,https://www.olx.pl/oferta/pracownik-restauracji-burger-king-promenada-CID4-IDCKdOk.html#5777e25a50
Pracownik Bistro,Warszawa", Ochota,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-bistro-CID4-IDCPS3u.html#5777e25a50
Restauracja McDonald's Bemowo zatrudni pracownika restauracji.,Warszawa", Bemowo,Pełny etat,Umowa o pracę,od 3 000 zł do 3 050 zł /mies. brutto,https://www.olx.pl/oferta/restauracja-mcdonalds-bemowo-zatrudni-pracownika-restauracji-CID4-IDrbY7N.html#5777e25a50
,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 14 zł do 25 zł /mies. brutto,
,Warszawa", Bielany,Pełny etat,Umowa o pracę,,
,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,
,Warszawa", Targówek,Niepełny etat,Umowa o pracę,od 20 zł do 21 zł /mies. brutto,
,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 3 000 zł do 4 500 zł /mies. brutto,
Ice Dream Sprzedawca 8 godzin ARKADIA,Warszawa", Żoliborz,Niepełny etat,Umowa o pracę,17 zł /mies. brutto,https://www.olx.pl/oferta/ice-dream-sprzedawca-8-godzin-arkadia-CID4-IDCvsDZ.html#2ebda80471
Max Premium Burgers - Pracownik restauracji Arkadia,Warszawa", Wesoła,Pełny etat,Umowa o pracę,od 18 zł do 20 zł /godz. brutto,https://www.olx.pl/oferta/max-premium-burgers-pracownik-restauracji-arkadia-CID4-IDCYLgB.html#2ebda80471
Lider Gościnności w Restauracji McDonald's Rondo Wiatraczna,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/lider-goscinnosci-w-restauracji-mcdonalds-rondo-wiatraczna-CID4-IDAytdV.html#2ebda80471;promoted
Manager – Kierownik Zmiany 4500 ZŁ BRUTTO!,Warszawa", Praga-Południe,Pełny etat,Umowa o pracę,od 4 400 zł do 4 500 zł /mies. brutto,https://www.olx.pl/oferta/manager-kierownik-zmiany-4500-zl-brutto-CID4-IDzQk54.html#2ebda80471;promoted
Kucharz / POMOC kuchni,Warszawa", Wola,Pełny etat,Umowa o pracę,od 4 000 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-pomoc-kuchni-CID4-IDCYKKg.html#2ebda80471
Host/essa- Lider Gościnności McD 21 zł/h + 5 zł/h za Niedzielę,Warszawa", Włochy,Pełny etat,Umowa o pracę,od 3 490 zł do 3 500 zł /mies. brutto,https://www.olx.pl/oferta/host-essa-lider-goscinnosci-mcd-21-zl-h-5-zl-h-za-niedziele-CID4-IDzP8lG.html#2ebda80471;promoted
do pracy w ""Burger Point"",Warszawa", Wawer,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/do-pracy-w-burger-point-CID4-IDsCXvT.html#2ebda80471;promoted
Praca w centrum Warszawy (godziny poranne),Warszawa", Śródmieście,Pełny etat,Umowa o pracę,3 000 zł /mies. brutto,https://www.olx.pl/oferta/praca-w-centrum-warszawy-godziny-poranne-CID4-IDCJH24.html#2ebda80471;promoted
Praca w centrum Warszawy (godziny popołudniowe),Warszawa", Śródmieście,Pełny etat,Umowa o pracę,3 000 zł /mies. brutto,https://www.olx.pl/oferta/praca-w-centrum-warszawy-godziny-popoludniowe-CID4-IDAp7Zq.html#2ebda80471;promoted
Dworzec Wileński - Kierownik Zmiany McDonald's,Warszawa", Praga-Północ,Pełny etat,Umowa o pracę,od 4 000 zł do 4 200 zł /mies. brutto,https://www.olx.pl/oferta/dworzec-wilenski-kierownik-zmiany-mcdonalds-CID4-IDBLNLk.html#2ebda80471;promoted
Kucharz/ Kucharka do nowo powstającej Restauracji Bistro,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-kucharka-do-nowo-powstajacej-restauracji-bistro-CID4-IDCUGht.html#2ebda80471;promoted
Barista w McDonald’s Jawczyce,Warszawa", Ursus,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/barista-w-mcdonalds-jawczyce-CID4-IDCPkfx.html#2ebda80471
Pracownik restauracji na weekendy Jawczyce,Warszawa", Ursus,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-na-weekendy-jawczyce-CID4-IDCPiqR.html#2ebda80471
Pracownik zmiany nocnej w McDonald`s Jawczyce,Warszawa", Ursus,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-zmiany-nocnej-w-mcdonalds-jawczyce-CID4-IDCPiqX.html#2ebda80471
Pracownik restauracji McDonald`s Jawczyce,Warszawa", Ursus,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-jawczyce-CID4-IDCPiqH.html#2ebda80471
Pracownik restauracji McDonald`s Jawczyce,Warszawa", Ursus,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-jawczyce-CID4-IDCPiqA.html#2ebda80471
NOWE WYŻSZE STAWKI! - 18zł/h Praca w Weekendy McDonald's Konstancin,Warszawa", Ursynów,Niepełny etat,Umowa o pracę,od 18 zł do 19 zł /godz. brutto,https://www.olx.pl/oferta/nowe-wyzsze-stawki-18zl-h-praca-w-weekendy-mcdonalds-konstancin-CID4-IDyzK8P.html#2ebda80471;promoted
Pracownik restauracji McDonald`s Jawczyce,Warszawa", Ursus,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-jawczyce-CID4-IDCPgP0.html#2ebda80471
55 tys. zł za 6 miesięcy pracy jako kucharz na statku rzecznym!,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,9 400 zł /mies. brutto,https://www.olx.pl/oferta/55-tys-zl-za-6-miesiecy-pracy-jako-kucharz-na-statku-rzecznym-CID4-IDCPfu9.html#2ebda80471
KUCHARZ - PINI Grill & Delikatesy,Warszawa", Mokotów,Pełny etat,Umowa o pracę,od 3 800 zł do 5 000 zł /mies. brutto,https://www.olx.pl/oferta/kucharz-pini-grill-delikatesy-CID4-IDzpe4O.html#2ebda80471
Zatrudnimy pomoc kucharza do restauracji w Centrum Warszawy,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnimy-pomoc-kucharza-do-restauracji-w-centrum-warszawy-CID4-IDCWcMS.html#2ebda80471
Zatrudnimy kucharza,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnimy-kucharza-CID4-IDCWcbH.html#2ebda80471
Pracownik Kuchni w Restauracji Pizza Hut Metro Ratusz Arsenał,Warszawa", Śródmieście,Pełny etat,Umowa o pracę,od 15 zł do 18 zł /godz. brutto,https://www.olx.pl/oferta/pracownik-kuchni-w-restauracji-pizza-hut-metro-ratusz-arsenal-CID4-IDCUts0.html#2ebda80471;promoted
